player_name,team_code,jersey_number,position,height_feet_inches,weight_pounds,college_name,country_name
Steven Adams,HOU,12.0,C,6-11,265 lbs,Pittsburgh,New Zealand
Bam Adebayo,MIA,13.0,C-F,6-9,255 lbs,Kentucky,USA
Ochai Agbaji,TOR,30.0,G,6-5,215 lbs,Kansas,USA
Santi Aldama,MEM,7.0,F-C,7-0,215 lbs,Loyola-Maryland,Spain
Trey Alexander,NOP,23.0,G,6-5,185 lbs,Creighton,USA
Nickeil Alexander-Walker,ATL,7.0,G,6-5,205 lbs,Virginia Tech,Canada
Grayson Allen,PHX,8.0,G,6-3,198 lbs,Duke,USA
Jarrett Allen,CLE,31.0,C,6-9,243 lbs,Texas,USA
Jose Alvarado,NOP,15.0,G,6-0,179 lbs,Georgia Tech,USA
Kyle Anderson,UTA,2.0,F-G,6-8,230 lbs,UCLA,USA
Alex Antetokounmpo,MIL,,F,6-8,214 lbs,,Greece
Giannis Antetokounmpo,MIL,34.0,F,6-11,243 lbs,Filathlitikos,Greece
Thanasis Antetokounmpo,MIL,43.0,F,6-7,219 lbs,Panathinaikos,Greece
Cole Anthony,MIL,50.0,G,6-2,185 lbs,North Carolina,USA
OG Anunoby,NYK,8.0,F-G,6-7,240 lbs,Indiana,United Kingdom
Deni Avdija,POR,8.0,F,6-8,228 lbs,Maccabi Tel Aviv,Israel
Deandre Ayton,LAL,5.0,C,7-0,252 lbs,Arizona,Bahamas
Marvin Bagley III,WAS,35.0,F,6-10,235 lbs,Duke,USA
Ace Bailey,UTA,19.0,F,6-9,200 lbs,Rutgers,USA
LaMelo Ball,CHA,1.0,G,6-7,180 lbs,Illawarra,USA
Lonzo Ball,CLE,2.0,G,6-5,190 lbs,UCLA,USA
Paolo Banchero,ORL,5.0,F,6-10,250 lbs,Duke,USA
Desmond Bane,ORL,3.0,G,6-6,215 lbs,TCU,USA
Dominick Barlow,PHI,25.0,F,6-9,215 lbs,Overtime Elite,USA
Harrison Barnes,SAS,40.0,F,6-7,225 lbs,North Carolina,USA
Scottie Barnes,TOR,4.0,F-G,6-8,237 lbs,Florida State,USA
Brooks Barnhizer,OKC,23.0,G,6-5,230 lbs,Northwestern,USA
RJ Barrett,TOR,9.0,F-G,6-6,214 lbs,Duke,Canada
Charles Bassey,MEM,28.0,C-F,6-10,230 lbs,Western Kentucky,Nigeria
Tamar Bates,DEN,7.0,G,6-4,195 lbs,Missouri,USA
Jamison Battle,TOR,77.0,F,6-7,220 lbs,Ohio State,USA
Nicolas Batum,LAC,33.0,G-F,6-7,230 lbs,Le Mans,France
Bradley Beal,LAC,0.0,G,6-4,207 lbs,Florida,USA
Joan Beringer,MIN,19.0,F,6-11,230 lbs,-,France
Saddiq Bey,NOP,41.0,G-F,6-8,215 lbs,Villanova,USA
Goga Bitadze,ORL,35.0,C-F,6-11,250 lbs,Mega Basket,Georgia
